Commodity,year,sum(value)
"COFFEE, TEA, MATE AND SPICES.",2016,757.8
"COFFEE, TEA, MATE AND SPICES.",2017,850.06
"COFFEE, TEA, MATE AND SPICES.",2018,720.64
COPPER AND ARTICLES THEREOF.,2010,1877.25
COPPER AND ARTICLES THEREOF.,2011,2688.51
COPPER AND ARTICLES THEREOF.,2012,2923.84
COPPER AND ARTICLES THEREOF.,2013,2909.57
COPPER AND ARTICLES THEREOF.,2014,3214.29
COPPER AND ARTICLES THEREOF.,2015,3338.18
COPPER AND ARTICLES THEREOF.,2016,3386.09
COPPER AND ARTICLES THEREOF.,2017,4507.54
COPPER AND ARTICLES THEREOF.,2018,5268.11
CORK AND ARTICLES OF CORK.,2010,4.35
CORK AND ARTICLES OF CORK.,2011,5.12
CORK AND ARTICLES OF CORK.,2012,5.63
CORK AND ARTICLES OF CORK.,2013,5.57
CORK AND ARTICLES OF CORK.,2014,5.53
CORK AND ARTICLES OF CORK.,2015,5.75
CORK AND ARTICLES OF CORK.,2016,4.9
CORK AND ARTICLES OF CORK.,2017,6.17
CORK AND ARTICLES OF CORK.,2018,8.01
COTTON.,2010,415.84
COTTON.,2011,511.05
COTTON.,2012,788.98
COTTON.,2013,714.98
COTTON.,2014,739.63
COTTON.,2015,684.92
COTTON.,2016,1132.18
COTTON.,2017,1181.0
COTTON.,2018,840.44
"DAIRY PRODUCE; BIRDS' EGGS; NATURAL HONEY; EDIBLE PROD. OF ANIMAL ORIGIN, NOT ELSEWHERE SPEC. OR INCLUDED.",2010,185.49
"DAIRY PRODUCE; BIRDS' EGGS; NATURAL HONEY; EDIBLE PROD. OF ANIMAL ORIGIN, NOT ELSEWHERE SPEC. OR INCLUDED.",2011,252.1
"DAIRY PRODUCE; BIRDS' EGGS; NATURAL HONEY; EDIBLE PROD. OF ANIMAL ORIGIN, NOT ELSEWHERE SPEC. OR INCLUDED.",2012,33.55
"DAIRY PRODUCE; BIRDS' EGGS; NATURAL HONEY; EDIBLE PROD. OF ANIMAL ORIGIN, NOT ELSEWHERE SPEC. OR INCLUDED.",2013,37.33
"DAIRY PRODUCE; BIRDS' EGGS; NATURAL HONEY; EDIBLE PROD. OF ANIMAL ORIGIN, NOT ELSEWHERE SPEC. OR INCLUDED.",2014,50.04
"DAIRY PRODUCE; BIRDS' EGGS; NATURAL HONEY; EDIBLE PROD. OF ANIMAL ORIGIN, NOT ELSEWHERE SPEC. OR INCLUDED.",2015,52.5
"DAIRY PRODUCE; BIRDS' EGGS; NATURAL HONEY; EDIBLE PROD. OF ANIMAL ORIGIN, NOT ELSEWHERE SPEC. OR INCLUDED.",2016,36.39
"DAIRY PRODUCE; BIRDS' EGGS; NATURAL HONEY; EDIBLE PROD. OF ANIMAL ORIGIN, NOT ELSEWHERE SPEC. OR INCLUDED.",2017,46.96
"DAIRY PRODUCE; BIRDS' EGGS; NATURAL HONEY; EDIBLE PROD. OF ANIMAL ORIGIN, NOT ELSEWHERE SPEC. OR INCLUDED.",2018,32.84
EDIBLE FRUIT AND NUTS; PEEL OR CITRUS FRUIT OR MELONS.,2010,1380.34
EDIBLE FRUIT AND NUTS; PEEL OR CITRUS FRUIT OR MELONS.,2011,2114.0
EDIBLE FRUIT AND NUTS; PEEL OR CITRUS FRUIT OR MELONS.,2012,2152.91
EDIBLE FRUIT AND NUTS; PEEL OR CITRUS FRUIT OR MELONS.,2013,2062.94
EDIBLE FRUIT AND NUTS; PEEL OR CITRUS FRUIT OR MELONS.,2014,2672.06
EDIBLE FRUIT AND NUTS; PEEL OR CITRUS FRUIT OR MELONS.,2015,3630.5
EDIBLE FRUIT AND NUTS; PEEL OR CITRUS FRUIT OR MELONS.,2016,3041.61
EDIBLE FRUIT AND NUTS; PEEL OR CITRUS FRUIT OR MELONS.,2017,3400.8
EDIBLE FRUIT AND NUTS; PEEL OR CITRUS FRUIT OR MELONS.,2018,3627.67
EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS.,2010,1660.5
EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS.,2011,1969.8
EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS.,2012,2461.68
EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS.,2013,2141.58
EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS.,2014,2834.4
EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS.,2015,4771.53
EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS.,2016,4287.37
EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS.,2017,2968.8
EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS.,2018,1189.03
"ELECTRICAL MACHINERY AND EQUIPMENT AND PARTS THEREOF; SOUND RECORDERS AND REPRODUCERS, TELEVISION IMAGE AND SOUND RECORDERS AND REPRODUCERS,AND PARTS.",2010,27210.34
"ELECTRICAL MACHINERY AND EQUIPMENT AND PARTS THEREOF; SOUND RECORDERS AND REPRODUCERS, TELEVISION IMAGE AND SOUND RECORDERS AND REPRODUCERS,AND PARTS.",2011,32864.62
"ELECTRICAL MACHINERY AND EQUIPMENT AND PARTS THEREOF; SOUND RECORDERS AND REPRODUCERS, TELEVISION IMAGE AND SOUND RECORDERS AND REPRODUCERS,AND PARTS.",2012,29818.96
"ELECTRICAL MACHINERY AND EQUIPMENT AND PARTS THEREOF; SOUND RECORDERS AND REPRODUCERS, TELEVISION IMAGE AND SOUND RECORDERS AND REPRODUCERS,AND PARTS.",2013,29152.08
"ELECTRICAL MACHINERY AND EQUIPMENT AND PARTS THEREOF; SOUND RECORDERS AND REPRODUCERS, TELEVISION IMAGE AND SOUND RECORDERS AND REPRODUCERS,AND PARTS.",2014,33148.77
"ELECTRICAL MACHINERY AND EQUIPMENT AND PARTS THEREOF; SOUND RECORDERS AND REPRODUCERS, TELEVISION IMAGE AND SOUND RECORDERS AND REPRODUCERS,AND PARTS.",2015,36172.56
"ELECTRICAL MACHINERY AND EQUIPMENT AND PARTS THEREOF; SOUND RECORDERS AND REPRODUCERS, TELEVISION IMAGE AND SOUND RECORDERS AND REPRODUCERS,AND PARTS.",2016,38569.91
"ELECTRICAL MACHINERY AND EQUIPMENT AND PARTS THEREOF; SOUND RECORDERS AND REPRODUCERS, TELEVISION IMAGE AND SOUND RECORDERS AND REPRODUCERS,AND PARTS.",2017,48268.45
"ELECTRICAL MACHINERY AND EQUIPMENT AND PARTS THEREOF; SOUND RECORDERS AND REPRODUCERS, TELEVISION IMAGE AND SOUND RECORDERS AND REPRODUCERS,AND PARTS.",2018,52048.26
"ESSENTIAL OILS AND RESINOIDS; PERFUMERY, COSMETIC OR TOILET PREPARATIONS.",2010,409.94
"ESSENTIAL OILS AND RESINOIDS; PERFUMERY, COSMETIC OR TOILET PREPARATIONS.",2011,519.16
"ESSENTIAL OILS AND RESINOIDS; PERFUMERY, COSMETIC OR TOILET PREPARATIONS.",2012,572.95
"ESSENTIAL OILS AND RESINOIDS; PERFUMERY, COSMETIC OR TOILET PREPARATIONS.",2013,579.18
"ESSENTIAL OILS AND RESINOIDS; PERFUMERY, COSMETIC OR TOILET PREPARATIONS.",2014,630.9
"ESSENTIAL OILS AND RESINOIDS; PERFUMERY, COSMETIC OR TOILET PREPARATIONS.",2015,670.07
"ESSENTIAL OILS AND RESINOIDS; PERFUMERY, COSMETIC OR TOILET PREPARATIONS.",2016,682.37
"ESSENTIAL OILS AND RESINOIDS; PERFUMERY, COSMETIC OR TOILET PREPARATIONS.",2017,866.079999999999
"ESSENTIAL OILS AND RESINOIDS; PERFUMERY, COSMETIC OR TOILET PREPARATIONS.",2018,1152.05
